'D(1), d
SPERM, s p ˈɜː m
SPHERE, s f ˈɪə
SPICE, s p ˈaɪ s
SPIDER, s p ˈaɪ d ə
SPIES, s p ˈaɪ z
SPILL, s p ˈɪ l
SPIN, s p ˈɪ n
SPINE, s p ˈaɪ n
SPIRIT, s p ˈɪ ɹ ɪ t
SPIRITS, s p ˈɪ ɹ ɪ t s
SPIRITUAL, s p ˈɪ ɹ ɪ tʃ j ʊə l
SPIRITUALITY, s p ˌɪ ɹ ɪ tʃ ʊ ˈæ l ɪ t iː
SPIT, s p ˈɪ t
SPITE, s p ˈaɪ t
SPLENDID, s p l ˈɛ n d ɪ d
SPLIT, s p l ˈɪ t
SPOIL, s p ˈɔɪ l
SPOILED, s p ˈɔɪ l d
SPOKE, s p ˈəʊ k
SPOKEN, s p ˈəʊ k ə n
SPOKESMAN, s p ˈəʊ k s m ə n
SPONGE, s p ˈɐ n dʒ
SPONSOR, s p ˈɒ n s ə
SPONSORED, s p ˈɒ n s ə d
SPONSORS, s p ˈɒ n s ə z
SPONSORSHIP, s p ˈɒ n s ə ʃ ˌɪ p
SPONTANEOUS, s p ɒ n t ˈeɪ n ɪə s
SPOON, s p ˈuː n
SPORT, s p ˈɔː t
SPORTING, s p ˈɔː t ɪ ŋ
SPORTS, s p ˈɔː t s
SPOT, s p ˈɒ t
SPOTLIGHT, s p ˈɒ t l ˌaɪ t
SPOTS, s p ˈɒ t s
SPOTTED, s p ˈɒ t ɪ d
SPOUSE, s p ˈaʊ s
SPRAY, s p ɹ ˈeɪ
SPREAD, s p ɹ ˈɛ d
SPREADING, s p ɹ ˈɛ d ɪ ŋ
SPREADSHEET, s p ɹ ˈɛ d ʃ ˌiː t
SPRING, s p ɹ ˈɪ ŋ
SPRINGER, s p ɹ ˈɪ ŋ ə
SPRINGFIELD, s p ɹ ˈɪ ŋ f ˌiː l d
SPRINGS, s p ɹ ˈɪ ŋ z
SPRINT, s p ɹ ˈɪ n t
SPROUTS, s p ɹ ˈaʊ t s
SPUDS, s p ˈɐ d z
SPY, s p ˈaɪ
SPYWARE, s p ˈaɪ w ˌɛə
SQUAD, s k w ˈɒ d
SQUARE, s k w ˈɛə
SQUARED, s k w ˈɛə d
SQUARES, s k w ˈɛə z
SQUASH, s k w ˈɒ ʃ
SQUEEZE, s k w ˈiː z
SQUID, s k w ˈɪ d
SQUIRT, s k w ˈɜː t
SQUIRTING, s k w ˈɜː t ɪ ŋ
SRI LANKA, s ɹ ˌiː l ˈæ ŋ k ə
STA, s t ˈɑː
STAB, s t ˈæ b
STABBED, s t ˈæ b d
STABILITY, s t ə b ˈɪ l ɪ t iː
STABLE, s t ˈeɪ b ə l
STACEY, s t ˈeɪ s iː
STACK, s t ˈæ k
STADIUM, s t ˈeɪ d ɪə m
STAFF, s t ˈɑː f
STAFFING, s t ˈɑː f ɪ ŋ
STAFFORDSHIRE, s t ˈæ f ə d ʃ ə
STAGE, s t ˈeɪ dʒ
STAGES, s t ˈeɪ dʒ ɪ z
STAINLESS, s t ˈeɪ n l ə s
STAIRCASE, s t ˈɛə k ˌeɪ s
STAIRS, s t ˈɛə z
STAKE, s t ˈeɪ k
STAKEHOLDERS, s t ˈeɪ k h ˌəʊ l d ə z
STALL, s t ˈɔː l
STAMP, s t ˈæ m p
STAMPS, s t ˈæ m p s
STANCE, s t ˈɑː n s
STAND, s t ˈæ n d
STANDARD, s t ˈæ n d ə d
STANDARDS, s t ˈæ n d ə d z
STANDING, s t ˈæ n d ɪ ŋ
STANDINGS, s t ˈæ n d ɪ ŋ z
STANDS, s t ˈæ n d z
STANFORD, s t ˈæ n f ə d
STANLEY, s t ˈæ n l iː
STAR, s t ˈɑː
STARE, s t ˈɛə
STARED, s t ˈɛə d
STARING, s t ˈɛə ɹ ɪ ŋ
STARRING, s t ˈɑː ɹ ɪ ŋ
STARS, s t ˈɑː z
START, s t ˈɑː t
STARTED, s t ˈɑː t ɪ d
STARTER, s t ˈɑː t ə
STARTERS, s t ˈɑː t ə z
STARTING, s t ˈɑː t ɪ ŋ
STARTS, s t ˈɑː t s
STARTUP, s t ˈɑː t ˌɐ p
STARVING, s t ˈɑː v ɪ ŋ
STAT, s t ˈæ t
STATE, s t ˈeɪ t
STATED, s t ˈeɪ t ɪ d
STATEMENT, s t ˈeɪ t m ə n t
STATEMENTS, s t ˈeɪ t m ə n t s
STATES, s t ˈeɪ t s
STATEWIDE, s t ˈeɪ t w ˌaɪ d
STATIC, s t ˈæ t ɪ k
STATING, s t ˈeɪ t ɪ ŋ
STATION, s t ˈeɪ ʃ ə n
STATIONERY, s t ˈeɪ ʃ ə n ə ɹ iː
STATIONS, s t ˈeɪ ʃ ə n z
STATISTICAL, s t ə t ˈɪ s t ɪ k ə l
STATISTICS, s t ə t ˈɪ s t ɪ k s
STATS, s t ˈæ t s
STATUE, s t ˈæ tʃ j ˌuː
STATUS, s t ˈeɪ t ə s
STATUTE, s t ˈæ tʃ uː t
STATUTES, s t ˈæ tʃ uː t s
STATUTORY, s t ˈæ tʃ ʊ t ə ɹ iː
STAY, s t ˈeɪ
STAYED, s t ˈeɪ d
STAYING, s t ˈeɪ ɪ ŋ
STAYS, s t ˈeɪ z
STEADILY, s t ˈɛ d ɪ l iː
STEADY, s t ˈɛ d iː
STEAK, s t ˈeɪ k
STEAL, s t ˈiː l
STEALING, s t ˈiː l ɪ ŋ
STEAM, s t ˈiː m
STEEL, s t ˈiː l
STEEP, s t ˈiː p
STEER, s t ˈɪə ɹ
STEERING, s t ˈɪə ɹ ɪ ŋ
STEM, s t ˈɛ m
STEP, s t ˈɛ p
STEPHANIE, s t ˈɛ f ə n iː
STEPHEN, s t ˈiː v ə n
STEPPED, s t ˈɛ p t
STEPS, s t ˈɛ p s
STEREO, s t ˈɛ ɹ ɪ ˌəʊ
STERLING, s t ˈɜː l ɪ ŋ
STEVE, s t ˈiː v
STEVEN, s t ˈiː v ə n
STEVENS, s t ˈiː v ə n z
STEW, s t ˈuː
STEWARD, s t j ˈʊə d
STEWARDS, s t j ˈʊə d z
STEWART, s t j ˈʊə t
STICK, s t ˈɪ k
STICKER, s t ˈɪ k ə
STICKERS, s t ˈɪ k ə z
STICKING, s t ˈɪ k ɪ ŋ
STICKS, s t ˈɪ k s
STICKY, s t ˈɪ k iː
STIFF, s t ˈɪ f
STILL, s t ˈɪ l
STIMULATE, s t ˈɪ m j ʊ l ˌeɪ t
STIMULATION, s t ˌɪ m j ʊ l ˈeɪ ʃ ə n
STIMULUS, s t ˈɪ m j ʊ l ə s
STINK, s t ˈɪ ŋ k
STINKS, s t ˈɪ ŋ k s
STIR, s t ˈɜː
STIRLING, s t ˈɜː l ɪ ŋ
STITCH, s t ˈɪ tʃ
STITCHES, s t ˈɪ tʃ ɪ z
STOCK, s t ˈɒ k
STOCKHOLM, s t ˈɒ k h ˌəʊ l m
STOCKINGS, s t ˈɒ k ɪ ŋ z
STOCKPORT, s t ˈɒ k p ˌɔː t
STOCKS, s t ˈɒ k s
STOKE, s t ˈəʊ k
STOKE-ON-TRENT, s t ˌəʊ k ɒ n t ɹ ˈɛ n t
STOLE, s t ˈəʊ l
STOLEN, s t ˈəʊ l ə n
STOMACH, s t ˈɐ m ə k
STONE, s t ˈəʊ n
STONES, s t ˈəʊ n z
STOOD, s t ˈʊ d
STOOL, s t ˈuː l
STOP, s t ˈɒ p
STOPPED, s t ˈɒ p t
STOPPING, s t ˈɒ p ɪ ŋ
STOPS, s t ˈɒ p s
STORAGE, s t ˈɒ ɹ ɪ dʒ
STORE, s t ˈɔː
STORED, s t ˈɔː d
STORES, s t ˈɔː z
STORIES, s t ˈɔː ɹ iː z
STORM, s t ˈɔː m
STORY, s t ˈɔː ɹ iː
STRAIGHT, s t ɹ ˈeɪ t
STRAIGHTEN, s t ɹ ˈeɪ t ə n
STRAIGHTFORWARD, s t ɹ ˌeɪ t f ˈɔː w ə d
STRAIN, s t ɹ ˈeɪ n
STRAND, s t ɹ ˈæ n d
STRANDS, s t ɹ ˈæ n d z
STRANGE, s t ɹ ˈeɪ n dʒ
STRANGELY, s t ɹ ˈeɪ n dʒ l iː
STRANGER, s t ɹ ˈeɪ n dʒ ə
STRANGERS, s t ɹ ˈeɪ n dʒ ə z
STRAP, s t ɹ ˈæ p
STRAPS, s t ɹ ˈæ p s
STRATEGIC, s t ɹ ə t ˈiː dʒ ɪ k
STRATEGIES, s t ɹ ˈæ t ɪ dʒ iː z
STRATEGY, s t ɹ ˈæ t ɪ dʒ iː
STRATFORD, s t ɹ ˈæ t f ə d
STRAW, s t ɹ ˈɔː
STRAWBERRIES, s t ɹ ˈɔː b ə ɹ iː z
STRAWBERRY, s t ɹ ˈɔː b ə ɹ iː
STREAM, s t ɹ ˈiː m
STREAMING, s t ɹ ˈiː m ɪ ŋ
STREAMS, s t ɹ ˈiː m z
STREET, s t ɹ ˈiː t
STREETS, s t ɹ ˈiː t s
STRENGTH(1), s t ɹ ˈɛ ŋ θ
STRENGTH(2), s t ɹ ˈɛ ŋ k θ
STRENGTHEN, s t ɹ ˈɛ ŋ θ ə n
STRENGTHENING, s t ɹ ˈɛ ŋ θ ə n ɪ ŋ
STRENGTHS(1), s t ɹ ˈɛ ŋ θ s
STRENGTHS(2), s t ɹ ˈɛ ŋ k θ s
STRESS, s t ɹ ˈɛ s
STRESSED, s t ɹ ˈɛ s t
STRETCH, s t ɹ ˈɛ tʃ
STRETCHED, s t ɹ ˈɛ tʃ t
STRETCHING, s t ɹ ˈɛ tʃ ɪ ŋ
STRICT, s t ɹ ˈɪ k t
STRICTLY, s t ɹ ˈɪ k t l iː
STRIDE, s t ɹ ˈaɪ d
STRIKE, s t ɹ ˈaɪ k
STRIKER, s t ɹ ˈaɪ k ə
STRIKES, s t ɹ ˈaɪ k s
STRIKING, s t ɹ ˈaɪ k ɪ ŋ
STRING, s t ɹ ˈɪ ŋ
STRINGS, s t ɹ ˈɪ ŋ z
STRIP, s t ɹ ˈɪ p
STRIPES, s t ɹ ˈaɪ p s
STRIPS, s t ɹ ˈɪ p s
STRIVE, s t ɹ ˈaɪ v
STROKE, s t ɹ ˈəʊ k
STRONG, s t ɹ ˈɒ ŋ
STRONGER, s t ɹ ˈɒ ŋ g ə
STRONGEST, s t ɹ ˈɒ ŋ g ɪ s t
STRONGLY, s t ɹ ˈɒ ŋ l iː
STRUCK, s t ɹ ˈɐ k
STRUCTURAL, s t ɹ ˈɐ k tʃ ə ɹ ə l
STRUCTURE, s t ɹ ˈɐ k tʃ ə
STRUCTURED, s t ɹ ˈɐ k tʃ ə d
STRUCTURES, s t ɹ ˈɐ k tʃ ə z
STRUGGLE, s t ɹ ˈɐ g ə l
STRUGGLED, s t ɹ ˈɐ g ə l d
STRUGGLING, s t ɹ ˈɐ g l ɪ ŋ
STUART, s t j ˈʊə t
STUBBORN, s t ˈɐ b ə n
STUCK, s t ˈɐ k
STUD, s t ˈɐ d
STUDENT, s t j ˈuː d ə n t
STUDENTS, s t j ˈuː d ə n t s
STUDIED, s t ˈɐ d iː d
STUDIES, s t ˈɐ d iː z
STUDIO, s t j ˈuː d ɪ ˌəʊ
STUDIOS, s t j ˈuː d ɪ ˌəʊ z
STUDY, s t ˈɐ d iː
STUDYING, s t ˈɐ d iː ɪ ŋ
STUFF, s t ˈɐ f
STUFFED, s t ˈɐ f t
STUMBLE, s t ˈɐ m b ə l
STUNNING, s t ˈɐ n ɪ ŋ
STUPID, s t j ˈuː p ɪ d
STYLE, s t ˈaɪ l
STYLES, s t ˈaɪ l z
STYLISH, s t ˈaɪ l ɪ ʃ
STYLUS, s t ˈaɪ l ə s
SUB, s ˈɐ b
SUBARU, s ʊ b ˈɑː ɹ ʊ
SUBCOMMITTEE, s ˈɐ b k ə m ˌɪ t iː
SUBDIVISION, s ˈɐ b d ɪ v ˌɪ ʒ ə n
SUBJECT(1), s ə b dʒ ˈɛ k t
SUBJECT(2), s ˈɐ b dʒ ɪ k t
SUBJECTED, s ə b dʒ ˈɛ k t ɪ d
SUBJECTIVE, s ə b dʒ ˈɛ k t ɪ v
SUBJECTS(1), s ə b dʒ ˈɛ k t s
SUBJECTS(2), s ˈɐ b dʒ ɪ k t s
SUBLIME, s ə b l ˈaɪ m
SUBMISSION, s ə b m ˈɪ ʃ ə n
SUBMISSIONS, s ə b m ˈɪ ʃ ə n z
SUBMIT, s ə b m ˈɪ t
SUBMITTED, s ə b m ˈɪ t ɪ d
SUBMITTING, s ə b m ˈɪ t ɪ ŋ
SUBSCRIBE, s ə b s k ɹ ˈaɪ b
SUBSCRIBER, s ə b s k ɹ ˈaɪ b ə
SUBSCRIBERS, s ə b s k ɹ ˈaɪ b ə z
SUBSCRIPTION, s ə b s k ɹ ˈɪ p ʃ ə n
SUBSCRIPTIONS, s ə b s k ɹ ˈɪ p ʃ ə n z
SUBSECTION, s ˈɐ b s ɛ k ʃ ə n
SUBSEQUENT, s ˈɐ b s ɪ k w ə n t
SUBSEQUENTLY, s ˈɐ b s ɪ k w ə n t l iː
SUBSIDIARIES, s ə b s ˈɪ d ɪə ɹ iː z
SUBSIDIARY, s ə b s ˈɪ d ɪə ɹ iː
SUBSIDIES, s ˈɐ b s ɪ d iː z
SUBSTANCE, s ˈɐ b s t ə n s
SUBSTANCES, s ˈɐ b s t ə n s ɪ z
SUBSTANTIAL, s ə b s t ˈæ n ʃ ə l
SUBSTANTIALLY, s ə b s t ˈæ n ʃ ə l iː
SUBSTITUTE, s ˈɐ b s t ɪ t j ˌuː t
SUBTITLES, s ˈɐ b t ˌaɪ t ə l z
SUBTLE, s ˈɐ t ə l
SUBURBAN, s ə b ˈɜː b ə n
SUBWAY, s ˈɐ b w ˌeɪ
SUCCEED, s ə k s ˈiː d
SUCCEEDED, s ə k s ˈiː d ɪ d
SUCCESS, s ə k s ˈɛ s
SUCCESSES, s ə k s ˈɛ s ɪ z
SUCCESSFUL, s ə k s ˈɛ s f ə l
SUCCESSFULLY, s ə k s ˈɛ s f ə l iː
SUCCESSION, s ə k s ˈɛ ʃ ə n
SUCCESSIVE, s ə k s ˈɛ s ɪ v
SUCCESSOR, s ə k s ˈɛ s ə
SUCH, s ˈɐ tʃ
SUCK, s ˈɐ k
SUCKER, s ˈɐ k ə
SUCKING, s ˈɐ k ɪ ŋ
SUCKS, s ˈɐ k s
SUDAN, s uː d ˈɑː n
SUDDEN, s ˈɐ d ə n
SUDDENLY, s ˈɐ d ə n l iː
SUE, s ˈuː
SUFFER, s ˈɐ f ə
SUFFERED, s ˈɐ f ə d
SUFFERING(1), s ˈɐ f ɹ ɪ ŋ
SUFFERING(2), s ˈɐ f ə ɹ ɪ ŋ
SUFFERS, s ˈɐ f ə z
SUFFICIENT, s ə f ˈɪ ʃ ə n t
SUFFICIENTLY, s ə f ˈɪ ʃ ə n t l iː
SUFFOLK, s ˈɐ f ə k
SUGAR, ʃ ˈʊ g ə
SUGGEST, s ə dʒ ˈɛ s t
SUGGESTED, s ə dʒ ˈɛ s t ɪ d
SUGGESTING, s ə dʒ ˈɛ s t ɪ ŋ
SUGGESTION, s ə dʒ ˈɛ s tʃ ə n
SUGGESTIONS, s ə dʒ ˈɛ s tʃ ə n z
SUGGESTS, s ə dʒ ˈɛ s t s
SUICIDE, s ˈuː ɪ s ˌaɪ d
SUIT, s ˈuː t
SUITABLE, s ˈuː t ə b ə l
SUITCASE, s ˈuː t k ˌeɪ s
SUITE, s w ˈiː t
SUITED, s ˈuː t ɪ d
SUITES, s w ˈiː t s
SUITS, s ˈuː t s
SULLIVAN, s ˈɐ l ɪ v ə n
SULPHUR, s ˈɐ l f ə
SUM, s ˈɐ m
SUMMARIES, s ˈɐ m ə ɹ iː z
SUMMARY, s ˈɐ m ə ɹ iː
SUMMER, s ˈɐ m ə
SUMMIT, s ˈɐ m ɪ t
SUMMON, s ˈɐ m ə n
SUMS, s ˈɐ m z
SUN, s ˈɐ n
SUNDAY(1), s ˈɐ n d ˌiː
SUNDAY(2), s ˈɐ n d ˌeɪ
SUNDAYS(1), s ˈɐ n d ˌiː z
SUNDAYS(2), s ˈɐ n d ˌeɪ z
SUNDERLAND, s ˈɐ n d ə l ə n d
SUNG, s ˈɐ ŋ
SUNGLASSES, s ˈɐ n g l ˌɑː s ɪ z
SUNLIGHT, s ˈɐ n l ˌaɪ t
SUNNY, s ˈɐ n iː
SUNRISE, s ˈɐ n ɹ ˌaɪ z
SUNSET, s ˈɐ n s ˌɛ t
SUNSHINE, s ˈɐ n ʃ ˌaɪ n
SUPER, s ˈuː p ə
SUPERB, s ʊ p ˈɜː b
SUPERFICIAL, s ˌuː p ə f ˈɪ ʃ ə l
SUPERINTENDENT, s ˌuː p ə ɹ ɪ n t ˈɛ n d ə n t
SUPERIOR, s uː p ˈɪə ɹ ɪə
SUPERIORITY, s uː p ˌɪə ɹ ɪ ˈɒ ɹ ɪ t iː
SUPERMARKET, s ˈuː p ə m ˌɑː k ɪ t
SUPERVISE, s ˈuː p ə v ˌaɪ z
SUPERVISION, s ˌuː p ə v ˈɪ ʒ ə n
SUPERVISOR, s ˈuː p ə v ˌaɪ z ə
SUPERVISORS, s ˈuː p ə v ˌaɪ z ə z
SUPPER, s ˈɐ p ə
SUPPLEMENT(1), s ˈɐ p l ɪ m ə n t
SUPPLEMENT(2), s ɐ p l ɪ m ˈɛ n t
SUPPLEMENTAL, s ˌɐ p l ə m ˈɛ n t ə l
SUPPLEMENTS(1), s ˈɐ p l ɪ m ə n t s
SUPPLEMENTS(2), s ɐ p l ɪ m ˈɛ n t s
SUPPLIED, s ə p l ˈaɪ d
SUPPLIER, s ə p l ˈaɪ ə
SUPPLIERS, s ə p l ˈaɪ ə z
SUPPLIES, s ə p l ˈaɪ z
SUPPLY, s ə p l ˈaɪ
SUPPORT, s ə p ˈɔː t
SUPPORTED, s ə p ˈɔː t ɪ d
SUPPORTER, s ə p ˈɔː t ə
SUPPORTERS, s ə p ˈɔː t ə z
SUPPORTING, s ə p ˈɔː t ɪ ŋ
SUPPORTIVE, s ə p ˈɔː t ɪ v
SUPPORTS, s ə p ˈɔː t s
SUPPOSE, s ə p ˈəʊ z
SUPPOSED, s ə p ˈəʊ z d
SUPPOSEDLY, s ə p ˈəʊ z ə d l iː
SUPREME, s ə p ɹ ˈiː m
SURE, ʃ ˈɔː
SURELY, ʃ ˈɔː l iː
SURF, s ˈɜː f
SURFACE, s ˈɜː f ə s
SURFACES, s ˈɜː f ə s ɪ z
SURFING, s ˈɜː f ɪ ŋ
SURGE, s ˈɜː dʒ
SURGEON, s ˈɜː dʒ ə n
SURGEONS, s ˈɜː dʒ ə n z
SURGERY, s ˈɜː dʒ ə ɹ iː
SURGICAL, s ˈɜː dʒ ɪ k ə l
SURNAME, s ˈɜː n ˌeɪ m
SURPLUS, s ˈɜː p l ə s
SURPRISE, s ə p ɹ ˈaɪ z
SURPRISED, s ə p ɹ ˈaɪ z d
SURPRISES, s ə p ɹ ˈaɪ z ɪ z
SURPRISING, s ə p ɹ ˈaɪ z ɪ ŋ
SURPRISINGLY, s ə p ɹ ˈaɪ z ɪ ŋ l iː
SURRENDER, s ə ɹ ˈɛ n d ə
SURREY, s ˈɐ ɹ iː
SURROUND, s ə ɹ ˈaʊ n d
SURROUNDED, s ə ɹ ˈaʊ n d ɪ d
SURROUNDING, s ə ɹ ˈaʊ n d ɪ ŋ
SURROUNDINGS, s ə ɹ ˈaʊ n d ɪ ŋ z
SURVEILLANCE, s ə v ˈeɪ l ə n s
SURVEY(1), s ə v ˈeɪ
SURVEY(2), s ˈɜː v ˌeɪ
SURVEYS(1), s ə v ˈeɪ z
SURVEYS(2), s ˈɜː v ˌeɪ z
SURVIVAL, s ə v ˈaɪ v ə l
SURVIVE, s ə v ˈaɪ v
SURVIVED, s ə v ˈaɪ v d
SURVIVING, s ə v ˈaɪ v ɪ ŋ
SURVIVOR, s ə v ˈaɪ v ə
SURVIVORS, s ə v ˈaɪ v ə z
SUSAN, s ˈuː z ə n
SUSPECT(1), s ə s p ˈɛ k t
SUSPECT(2), s ˈɐ s p ˌɛ k t
SUSPECTED, s ə s p ˈɛ k t ɪ d
SUSPECTS(1), s ə s p ˈɛ k t s
SUSPECTS(2), s ˈɐ s p ˌɛ k t s
SUSPENDED, s ə s p ˈɛ n d ɪ d
SUSPENSION, s ə s p ˈɛ n ʃ ə n
SUSPICION, s ə s p ˈɪ ʃ ə n
SUSPICIOUS, s ə s p ˈɪ ʃ ə s
SUSSEX, s ˈɐ s ɪ k s
SUSTAIN, s ə s t ˈeɪ n
SUSTAINABILITY, s ə s t ˌeɪ n ə b ˈɪ l ɪ t iː
SUSTAINABLE, s ə s t ˈeɪ n ə b ə l
SUSTAINED, s ə s t ˈeɪ n d
SUTTON, s ˈɐ t ə n
SUZUKI, s ə z ˈuː k iː
SWALLOW, s w ˈɒ l əʊ
SWALLOWED, s w ˈɒ l əʊ d
SWANSEA, s w ˈɒ n z iː
SWAP, s w ˈɒ p
SWAPPED, s w ˈɒ p t
SWAZILAND, s w ˈɑː z ɪ l æ n d
SWEAR, s w ˈɛə
SWEARING, s w ˈɛə ɹ ɪ ŋ
SWEAT, s w ˈɛ t
SWEDEN, s w ˈiː d ə n
SWEDISH, s w ˈiː d ɪ ʃ
SWEEP, s w ˈiː p
SWEET, s w ˈiː t
SWEETHEART, s w ˈiː t h ˌɑː t
SWEETIE, s w ˈiː t iː
SWEETS, s w ˈiː t s
SWELL, s w ˈɛ l
SWEPT, s w ˈɛ p t
SWIFT, s w ˈɪ f t
SWIFTLY, s w ˈɪ f t l iː
SWIM, s w ˈɪ m
SWIMMING, s w ˈɪ m ɪ ŋ
SWINDON, s w ˈɪ n d ə n
SWING, s w ˈɪ ŋ
SWINGERS, s w ˈɪ ŋ ə z
SWISS, s w ˈɪ s
SWITCH, s w ˈɪ tʃ
SWITCHED, s w ˈɪ tʃ t
SWITCHES, s w ˈɪ tʃ ɪ z
SWITCHING, s w ˈɪ tʃ ɪ ŋ
SWITZERLAND, s w ˈɪ t s ə l ə n d
SWOLLEN, s w ˈəʊ l ə n
SWORD, s ˈɔː d
SWORE, s w ˈɔː
SWUNG, s w ˈɐ ŋ
SYDNEY, s ˈɪ d n iː
SYMANTEC, s ɪ m ˈæ n t ˌɛ k
SYMBOL, s ˈɪ m b ə l
SYMBOLIC, s ɪ m b ˈɒ l ɪ k
SYMBOLS, s ˈɪ m b ə l z
SYMMETRY, s ˈɪ m ə t ɹ iː
SYMPATHETIC, s ˌɪ m p ə θ ˈɛ t ɪ k
SYMPATHY, s ˈɪ m p ə θ iː
SYMPHONY, s ˈɪ m f ə n iː
SYMPOSIUM, s ɪ m p ˈəʊ z ɪə m
SYMPTOMS, s ˈɪ m p t ə m z
SYNC, s ˈɪ ŋ k
SYNDICATE(1), s ˈɪ n d ɪ k ə t
SYNDICATE(2), s ˈɪ n d ɪ k ˌeɪ t
SYNDICATION, s ˌɪ n d ɪ k ˈeɪ ʃ ə n
SYNDROME, s ˈɪ n d ɹ ˌəʊ m
SYNOD, s ˈɪ n ə d
SYNOPSIS, s ɪ n ˈɒ p s ɪ s
SYNTACTIC, s ˈɪ n t ˌæ k t ɪ k
SYNTAX, s ˈɪ n t ˌæ k s
SYNTHESIS, s ˈɪ n θ ɪ s ɪ s
SYNTHETIC, s ɪ n θ ˈɛ t ɪ k
SYRACUSE, s ˈɪ ɹ ə k j ˌuː z
SYRIA, s ˈɪ ɹ ɪə
SYRUP, s ˈɪ ɹ ə p
SYSTEM, s ˈɪ s t ə m
SYSTEMATIC, s ˌɪ s t ə m ˈæ t ɪ k
SYSTEMATICALLY, s ˌɪ s t ə m ˈæ t ɪ k l iː
SYSTEMS, s ˈɪ s t ə m z
TA, t ˈɑː
TAB, t ˈæ b
TABLE, t ˈeɪ b ə l
TABLES, t ˈeɪ b ə l z
TABLET, t ˈæ b l ə t
TABLETS, t ˈæ b l ə t s
TABS, t ˈæ b z
TACKLE, t ˈæ k ə l
TACTICS, t ˈæ k t ɪ k s
TAG, t ˈæ g
TAGGED, t ˈæ g d
TAGS, t ˈæ g z
TAIL, t ˈeɪ l
TAILS, t ˈeɪ l z
TAIWAN, t aɪ w ˈɑː n
TAKE, t ˈeɪ k
TAKEN, t ˈeɪ k ə n
TAKEOVER, t ˈeɪ k ˌəʊ v ə
TAKES, t ˈeɪ k s
TAKING, t ˈeɪ k ɪ ŋ
TALE, t ˈeɪ l
TALENT, t ˈæ l ə n t
TALENTED, t ˈæ l ə n t ɪ d
TALENTS, t ˈæ l ə n t s
TALES, t ˈeɪ l z
TALK, t ˈɔː k
TALKED, t ˈɔː k t
TALKING, t ˈɔː k ɪ ŋ
TALKS, t ˈɔː k s
TALL, t ˈɔː l
TALLER, t ˈɔː l ə
TAMIL, t ˈæ m ɪ l
TAMPA, t ˈæ m p ə
TAN, t ˈæ n
TANK, t ˈæ ŋ k
TANKS, t ˈæ ŋ k s
TANZANIA, t ˌæ n z ə n ˈɪə
TAP, t ˈæ p
TAPE, t ˈeɪ p
TAPED, t ˈeɪ p t
TAPES, t ˈeɪ p s
TAPING, t ˈeɪ p ɪ ŋ
TAR, t ˈɑː
TARGET, t ˈɑː g ɪ t
TARGETED, t ˈɑː g ɪ t ɪ d
TARGETS, t ˈɑː g ɪ t s
TARIFF, t ˈæ ɹ ɪ f
TART, t ˈɑː t
TASK, t ˈɑː s k
TASKS, t ˈɑː s k s
TASTE, t ˈeɪ s t
TASTED, t ˈeɪ s t ɪ d
TASTES, t ˈeɪ s t s
TASTY, t ˈeɪ s t iː
TATTOO, t ə t ˈuː
TAUGHT, t ˈɔː t
TAX, t ˈæ k s
TAXATION, t ˌæ k s ˈeɪ ʃ ə n
TAXES, t ˈæ k s ɪ z
TAXI, t ˈæ k s iː
TAXPAYER, t ˈæ k s p ˌeɪ ə
TAYLOR, t ˈeɪ l ə
TEA, t ˈiː
TEACH, t ˈiː tʃ
TEACHER, t ˈiː tʃ ə
TEACHERS, t ˈiː tʃ ə z
TEACHES, t ˈiː tʃ ɪ z
TEACHING, t ˈiː tʃ ɪ ŋ
TEAM, t ˈiː m
TEAMS, t ˈiː m z
TEAPOT, t ˈiː p ˌɒ t
TEAR(1), t ˈɪə
TEAR(2), t ˈɛə
TEARS(1), t ˈɪə z
TEARS(2), t ˈɛə z
TEAS, t ˈiː z
TECH, t ˈɛ k
TECHNICAL, t ˈɛ k n ɪ k ə l
TECHNICALLY(1), t ˈɛ k n ɪ k l iː
TECHNICALLY(2), t ˈɛ k n ɪ k ə l iː
TECHNICIAN, t ɛ k n ˈɪ ʃ ə n
TECHNIQUE, t ɛ k n ˈiː k
TECHNIQUES, t ɛ k n ˈiː k s
TECHNO, t ˈɛ k n əʊ
TECHNOLOGICAL, t ˌɛ k n ə l ˈɒ dʒ ɪ k ə l
TECHNOLOGIES, t ɛ k n ˈɒ l ə dʒ iː z
TECHNOLOGY, t ɛ k n ˈɒ l ə dʒ iː
TED, t ˈɛ d
TEDDY, t ˈɛ d iː
TEE, t ˈiː
TEEN, t ˈiː n
TEENAGE, t ˈiː n ˌeɪ dʒ
TEENAGER, t ˈiː n ˌeɪ dʒ ə
TEENAGERS, t ˈiː n ˌeɪ dʒ ə z
TEENS, t ˈiː n z
TEES, t ˈiː z
TEETH, t ˈiː θ
TELECOM, t ˈɛ l ə k ɒ m
TELECOMMUNICATIONS, t ˌɛ l ɪ k ə m j uː n ɪ k ˈeɪ ʃ ə n z
TELEGRAM, t ˈɛ l ə g ɹ ˌæ m
TELEGRAPH, t ˈɛ l ə g ɹ ˌɑː f
TELEPHONE, t ˈɛ l ə f ˌəʊ n
TELEPHONY, t ɪ l ˈɛ f ə n iː
TELESCOPE, t ˈɛ l ɪ s k ˌəʊ p
