'COS, k ˈə z
SUDAN, s uː d ˈɑː n
SUDDEN, s ˈɐ d ə n
SUDDENLY, s ˈɐ d ə n l i
SUE, s ˈuː
SUFFER, s ˈɐ f ə
SUFFERED, s ˈɐ f ə d
SUFFERER, s ˈɐ f ə ɹ ə
SUFFERERS, s ˈɐ f ə ɹ ə z
SUFFERING(1), s ˈɐ f ɹ ɪ ŋ
SUFFERING(2), s ˈɐ f ə ɹ ɪ ŋ
SUFFERS, s ˈɐ f ə z
SUFFICIENT, s ə f ˈɪ ʃ ə n t
SUFFICIENTLY, s ə f ˈɪ ʃ ə n t l i
SUFFOLK, s ˈɐ f ə k
SUGAR, ʃ ˈʊ g ə
SUGGEST, s ə dʒ ˈɛ s t
SUGGESTED, s ə dʒ ˈɛ s t ɪ d
SUGGESTING, s ə dʒ ˈɛ s t ɪ ŋ
SUGGESTION, s ə dʒ ˈɛ s tʃ ə n
SUGGESTIONS, s ə dʒ ˈɛ s tʃ ə n z
SUGGESTS, s ə dʒ ˈɛ s t s
SUICIDE, s ˈuː ɪ s ˌaɪ d
SUIT, s ˈuː t
SUITABLE, s ˈuː t ə b ə l
SUITCASE, s ˈuː t k ˌeɪ s
SUITE, s w ˈiː t
SUITED, s ˈuː t ɪ d
SUITES, s w ˈiː t s
SUITS, s ˈuː t s
SULK, s ˈɐ l k
SULKY, s ˈɐ l k i
SULLIVAN, s ˈɐ l ɪ v ə n
SULLY, s ˈɐ l i
SULPHUR, s ˈɐ l f ə
SUM, s ˈɐ m
SUMMARIES, s ˈɐ m ə ɹ i z
SUMMARISE, s ˈɐ m ə ɹ ˌaɪ z
SUMMARY, s ˈɐ m ə ɹ i
SUMMER, s ˈɐ m ə
SUMMIT, s ˈɐ m ɪ t
SUMMON, s ˈɐ m ə n
SUMS, s ˈɐ m z
SUN, s ˈɐ n
SUNBURN, s ˈɐ n b ˌɜː n
SUNDAY(1), s ˈɐ n d i
SUNDAY(2), s ˈɐ n d ˌeɪ
SUNDAYS(1), s ˈɐ n d ˌiː z
SUNDAYS(2), s ˈɐ n d ˌeɪ z
SUNDERLAND, s ˈɐ n d ə l ə n d
SUNG, s ˈɐ ŋ
SUNGLASSES, s ˈɐ n g l ˌɑː s ɪ z
SUNK, s ˈɐ ŋ k
SUNLIGHT, s ˈɐ n l ˌaɪ t
SUNNY, s ˈɐ n i
SUNRISE, s ˈɐ n ɹ ˌaɪ z
SUNSET, s ˈɐ n s ˌɛ t
SUNSHINE, s ˈɐ n ʃ ˌaɪ n
SUPER, s ˈuː p ə
SUPERB(1), s ʊ p ˈɜː b
SUPERB(2), s uː p ˈɜː b
SUPERFICIAL, s ˌuː p ə f ˈɪ ʃ ə l
SUPERFLOUS, s ˌuː p ˈɜː f l ʊə s
SUPERINTENDENT, s ˌuː p ə ɹ ɪ n t ˈɛ n d ə n t
SUPERIOR, s uː p ˈɪə ɹ ɪə
SUPERIORITY, s uː p ˌɪə ɹ ɪ ˈɒ ɹ ɪ t i
SUPERMARKET, s ˈuː p ə m ˌɑː k ɪ t
SUPERSEDE, s ˌuː p ə s ˈiː d
SUPERSEDED, s ˌuː p ə s ˈiː d ɪ d
SUPERVISE, s ˈuː p ə v ˌaɪ z
SUPERVISION, s ˌuː p ə v ˈɪ ʒ ə n
SUPERVISOR, s ˈuː p ə v ˌaɪ z ə
SUPERVISORS, s ˈuː p ə v ˌaɪ z ə z
SUPPER, s ˈɐ p ə
SUPPLEMENT(1), s ˈɐ p l ɪ m ə n t
SUPPLEMENT(2), s ɐ p l ɪ m ˈɛ n t
SUPPLEMENTAL, s ˌɐ p l ɪ m ˈɛ n t ə l
SUPPLEMENTS(1), s ˈɐ p l ɪ m ə n t s
SUPPLEMENTS(2), s ɐ p l ɪ m ˈɛ n t s
SUPPLIED, s ə p l ˈaɪ d
SUPPLIER, s ə p l ˈaɪ ə
SUPPLIERS, s ə p l ˈaɪ ə z
SUPPLIES, s ə p l ˈaɪ z
SUPPLY, s ə p l ˈaɪ
SUPPORT, s ə p ˈɔː t
SUPPORTED, s ə p ˈɔː t ɪ d
SUPPORTER, s ə p ˈɔː t ə
SUPPORTERS, s ə p ˈɔː t ə z
SUPPORTING, s ə p ˈɔː t ɪ ŋ
SUPPORTIVE, s ə p ˈɔː t ɪ v
SUPPORTS, s ə p ˈɔː t s
SUPPOSE, s ə p ˈəʊ z
SUPPOSED, s ə p ˈəʊ z d
SUPPOSEDLY, s ə p ˈəʊ z ə d l i
SUPPRESS, s ə p ɹ ˈɛ s
SUPREMACIST(1), s ʊ p ɹ ˈɛ m ə s ɪ s t
SUPREMACIST(2), s j ʊ p ɹ ˈɛ m ə s ɪ s t
SUPREME, s ə p ɹ ˈiː m
SURE, ʃ ˈɔː
SURELY, ʃ ˈɔː l i
SURF, s ˈɜː f
SURFACE, s ˈɜː f ɪ s
SURFACES, s ˈɜː f ɪ s ɪ z
SURFING, s ˈɜː f ɪ ŋ
SURGE, s ˈɜː dʒ
SURGEON, s ˈɜː dʒ ə n
SURGEONS, s ˈɜː dʒ ə n z
SURGERY, s ˈɜː dʒ ə ɹ i
SURGICAL, s ˈɜː dʒ ɪ k ə l
SURLY, s ˈɜː l i
SURMISE(1), s ˈɜː m aɪ z
SURMISE(2), s ɜː m ˈaɪ z
SURNAME, s ˈɜː n ˌeɪ m
SURPLUS, s ˈɜː p l ə s
SURPRISE, s ə p ɹ ˈaɪ z
SURPRISED, s ə p ɹ ˈaɪ z d
SURPRISES, s ə p ɹ ˈaɪ z ɪ z
SURPRISING, s ə p ɹ ˈaɪ z ɪ ŋ
SURPRISINGLY, s ə p ɹ ˈaɪ z ɪ ŋ l i
SURRENDER, s ə ɹ ˈɛ n d ə
SURREY, s ˈɐ ɹ i
SURROUND, s ə ɹ ˈaʊ n d
SURROUNDED, s ə ɹ ˈaʊ n d ɪ d
SURROUNDING, s ə ɹ ˈaʊ n d ɪ ŋ
SURROUNDINGS, s ə ɹ ˈaʊ n d ɪ ŋ z
SURVEILLANCE, s ə v ˈeɪ l ə n s
SURVEY(1), s ə v ˈeɪ
SURVEY(2), s ˈɜː v ˌeɪ
SURVEYOR, s ə v ˈeɪ ə
SURVEYORS, s ə v ˈeɪ ə z
SURVEYS(1), s ə v ˈeɪ z
SURVEYS(2), s ˈɜː v ˌeɪ z
SURVIVAL, s ə v ˈaɪ v ə l
SURVIVE, s ə v ˈaɪ v
SURVIVED, s ə v ˈaɪ v d
SURVIVES, s ə v ˈaɪ v z
SURVIVING, s ə v ˈaɪ v ɪ ŋ
SURVIVOR, s ə v ˈaɪ v ə
SURVIVORS, s ə v ˈaɪ v ə z
SUSAN, s ˈuː z ə n
SUSCEPTIBLE, s ə s ˈɛ p t ɪ b ə l
SUSHI, s ˈuː ʃ i
SUSPECT(1), s ə s p ˈɛ k t
SUSPECT(2), s ˈɐ s p ˌɛ k t
SUSPECTED, s ə s p ˈɛ k t ɪ d
SUSPECTS(1), s ə s p ˈɛ k t s
SUSPECTS(2), s ˈɐ s p ˌɛ k t s
SUSPEND, s ə s p ˈɛ n d
SUSPENDED, s ə s p ˈɛ n d ɪ d
SUSPENSE, s ə s p ˈɛ n s
SUSPENSION, s ə s p ˈɛ n ʃ ə n
SUSPICION, s ə s p ˈɪ ʃ ə n
SUSPICIOUS, s ə s p ˈɪ ʃ ə s
SUSS, s ˈɐ s
SUSSEX, s ˈɐ s ɪ k s
SUSTAIN, s ə s t ˈeɪ n
SUSTAINABILITY, s ə s t ˌeɪ n ə b ˈɪ l ɪ t i
SUSTAINABLE, s ə s t ˈeɪ n ə b ə l
SUSTAINED, s ə s t ˈeɪ n d
SUTTON, s ˈɐ t ə n
SUZUKI, s ə z ˈuː k i
SWAB, s w ˈɒ b
SWAG, s w ˈæ g
SWALLOW, s w ˈɒ l əʊ
SWALLOWED, s w ˈɒ l əʊ d
SWAM, s w ˈæ m
SWAMP, s w ˈɒ m p
SWAN, s w ˈɒ n
SWANSEA, s w ˈɒ n z i
SWAP, s w ˈɒ p
SWAPPED, s w ˈɒ p t
SWARM, s w ˈɔː m
SWAT, s w ˈɒ t
SWATHE, s w ˈeɪ ð
SWAY, s w ˈeɪ
SWAZILAND, s w ˈɑː z ɪ l æ n d
SWEAR, s w ˈɛə
SWEARING, s w ˈɛə ɹ ɪ ŋ
SWEAT, s w ˈɛ t
SWEATED, s w ˈɛ t ɪ d
SWEDE, s w ˈiː d
SWEDEN, s w ˈiː d ə n
SWEDISH, s w ˈiː d ɪ ʃ
SWEEP, s w ˈiː p
SWEEPING, s w ˈiː p ɪ ŋ
SWEET, s w ˈiː t
SWEETHEART, s w ˈiː t h ˌɑː t
SWEETIE, s w ˈiː t i
SWEETS, s w ˈiː t s
SWELL, s w ˈɛ l
SWELLED, s w ˈɛ l d
SWEPT, s w ˈɛ p t
SWIFT, s w ˈɪ f t
SWIFTLY, s w ˈɪ f t l i
SWIG, s w ˈɪ g
SWILL, s w ˈɪ l
SWIM, s w ˈɪ m
SWIMMING, s w ˈɪ m ɪ ŋ
SWINDON, s w ˈɪ n d ə n
SWINE, s w ˈaɪ n
SWING, s w ˈɪ ŋ
SWINGERS, s w ˈɪ ŋ ə z
SWIPE, s w ˈaɪ p
SWIRL, s w ˈɜː l
SWISH, s w ˈɪ ʃ
SWISS, s w ˈɪ s
SWITCH, s w ˈɪ tʃ
SWITCHED, s w ˈɪ tʃ t
SWITCHES, s w ˈɪ tʃ ɪ z
SWITCHING, s w ˈɪ tʃ ɪ ŋ
SWITZERLAND, s w ˈɪ t s ə l ə n d
SWIVEL, s w ˈɪ v ə l
SWOLLEN, s w ˈəʊ l ə n
SWOOP, s w ˈuː p
SWORD, s ˈɔː d
SWORE, s w ˈɔː
SWORN, s w ˈɔː n
SWOT, s w ˈɒ t
SWUM, s w ˈɐ m
SWUNG, s w ˈɐ ŋ
SYCOPHANT, s ˈɪ k ə f ə n t
SYDNEY, s ˈɪ d n i
SYLLABLE, s ˈɪ l ə b ə l
SYLLABUS, s ˈɪ l ə b ə s
SYMANTEC, s ɪ m ˈæ n t ˌɛ k
SYMBOL, s ˈɪ m b ə l
SYMBOLIC, s ɪ m b ˈɒ l ɪ k
SYMBOLS, s ˈɪ m b ə l z
SYMMETRIC, s ɪ m ˈɛ t ɹ ɪ k
SYMMETRY, s ˈɪ m ə t ɹ i
SYMPATHETIC, s ˌɪ m p ə θ ˈɛ t ɪ k
SYMPATHY, s ˈɪ m p ə θ i
SYMPHONY, s ˈɪ m f ə n i
SYMPOSIUM, s ɪ m p ˈəʊ z ɪə m
SYMPTOM, s ˈɪ m p t ə m
SYMPTOMS, s ˈɪ m p t ə m z
SYNC, s ˈɪ ŋ k
SYNDICATE(1), s ˈɪ n d ɪ k ɪ t
SYNDICATE(2), s ˈɪ n d ɪ k ˌeɪ t
SYNDICATION, s ˌɪ n d ɪ k ˈeɪ ʃ ə n
SYNDROME, s ˈɪ n d ɹ ˌəʊ m
SYNERGY, s ˈɪ n ə dʒ i
SYNOD, s ˈɪ n ə d
SYNONYMOUS, s ɪ n ˈɒ n ɪ m ə s
SYNOPSES, s ɪ n ˈɒ p s iː z
SYNOPSIS, s ɪ n ˈɒ p s ɪ s
SYNTACTIC, s ˈɪ n t ˌæ k t ɪ k
SYNTAX, s ˈɪ n t ˌæ k s
SYNTHESES, s ˈɪ n θ ɪ s iː z
SYNTHESIS, s ˈɪ n θ ɪ s ɪ s
SYNTHETIC, s ɪ n θ ˈɛ t ɪ k
SYRACUSE, s ˈɪ ɹ ə k j ˌuː z
SYRIA, s ˈɪ ɹ ɪə
SYRINGE, s ɪ ɹ ˈɪ n dʒ
SYRUP, s ˈɪ ɹ ə p
SYSTEM, s ˈɪ s t ə m
SYSTEMATIC, s ˌɪ s t ə m ˈæ t ɪ k
SYSTEMATICALLY, s ˌɪ s t ə m ˈæ t ɪ k l i
SYSTEMS, s ˈɪ s t ə m z
T-SHIRT, t ˈiː ʃ ɜː t
T-SHIRTS, t ˈiː ʃ ɜː t s
TA, t ˈɑː
TAB, t ˈæ b
TABLE, t ˈeɪ b ə l
TABLES, t ˈeɪ b ə l z
TABLET, t ˈæ b l ɪ t
TABLETS, t ˈæ b l ɪ t s
TABOO, t ə b ˈuː
TABS, t ˈæ b z
TACIT, t ˈæ s ɪ t
TACK, t ˈæ k
TACKLE, t ˈæ k ə l
TACKY, t ˈæ k i
TACT, t ˈæ k t
TACTIC, t ˈæ k t ɪ k
TACTICS, t ˈæ k t ɪ k s
TAG, t ˈæ g
TAGGED, t ˈæ g d
TAGS, t ˈæ g z
TAIL, t ˈeɪ l
TAILOR, t ˈeɪ l ə
TAILS, t ˈeɪ l z
TAINT, t ˈeɪ n t
TAIWAN, t aɪ w ˈɑː n
TAKE, t ˈeɪ k
TAKEN, t ˈeɪ k ə n
TAKEOVER, t ˈeɪ k ˌəʊ v ə
TAKER, t ˈeɪ k ə
TAKES, t ˈeɪ k s
TAKING, t ˈeɪ k ɪ ŋ
TALC, t ˈæ l k
TALE, t ˈeɪ l
TALENT, t ˈæ l ə n t
TALENTED, t ˈæ l ə n t ɪ d
TALENTS, t ˈæ l ə n t s
TALES, t ˈeɪ l z
TALK, t ˈɔː k
TALKED, t ˈɔː k t
TALKING, t ˈɔː k ɪ ŋ
TALKS, t ˈɔː k s
TALL, t ˈɔː l
TALLER, t ˈɔː l ə
TALLINN, t ˈæ l ɪ n
TALLY, t ˈæ l i
TAME, t ˈeɪ m
TAMIL, t ˈæ m ɪ l
TAMPA, t ˈæ m p ə
TAN, t ˈæ n
TANG, t ˈæ ŋ
TANGO, t ˈæ ŋ g əʊ
TANGY, t ˈæ ŋ i
TANK, t ˈæ ŋ k
TANKS, t ˈæ ŋ k s
TANZANIA, t ˌæ n z ə n ˈɪə
TAP, t ˈæ p
TAPE, t ˈeɪ p
TAPED, t ˈeɪ p t
TAPER, t ˈeɪ p ə
TAPES, t ˈeɪ p s
TAPING, t ˈeɪ p ɪ ŋ
TAR, t ˈɑː
TARGET, t ˈɑː g ɪ t
TARGETED, t ˈɑː g ɪ t ɪ d
TARGETS, t ˈɑː g ɪ t s
TARIFF, t ˈæ ɹ ɪ f
TAROT, t ˈæ ɹ əʊ
TARPAULIN, t ɑː p ˈɔː l ɪ n
TART, t ˈɑː t
TASK, t ˈɑː s k
TASKS, t ˈɑː s k s
TASTE, t ˈeɪ s t
TASTED, t ˈeɪ s t ɪ d
TASTES, t ˈeɪ s t s
TASTY, t ˈeɪ s t i
TATE, t ˈeɪ t
TATTOO, t ə t ˈuː
TAUGHT, t ˈɔː t
TAUNT, t ˈɔː n t
TAUT, t ˈɔː t
TAVERN, t ˈæ v ə n
TAX, t ˈæ k s
TAXATION, t ˌæ k s ˈeɪ ʃ ə n
TAXES, t ˈæ k s ɪ z
TAXI, t ˈæ k s i
TAXPAYER, t ˈæ k s p ˌeɪ ə
TAYLOR, t ˈeɪ l ə
TEA, t ˈiː
TEACH, t ˈiː tʃ
TEACHER, t ˈiː tʃ ə
TEACHERS, t ˈiː tʃ ə z
TEACHES, t ˈiː tʃ ɪ z
TEACHING, t ˈiː tʃ ɪ ŋ
TEAK, t ˈiː k
TEAL, t ˈiː l
TEAM, t ˈiː m
TEAMS, t ˈiː m z
TEAPOT, t ˈiː p ˌɒ t
TEAR(1), t ˈɪə
TEAR(2), t ˈɛə
TEARS(1), t ˈɪə z
TEARS(2), t ˈɛə z
TEAS, t ˈiː z
TEASE, t ˈiː z
TEAT, t ˈiː t
TECH, t ˈɛ k
TECHNICAL, t ˈɛ k n ɪ k ə l
TECHNICALLY(1), t ˈɛ k n ɪ k l i
TECHNICALLY(2), t ˈɛ k n ɪ k ə l i
TECHNICIAN, t ɛ k n ˈɪ ʃ ə n
TECHNIQUE, t ɛ k n ˈiː k
TECHNIQUES, t ɛ k n ˈiː k s
TECHNO, t ˈɛ k n əʊ
TECHNOLOGICAL, t ˌɛ k n ə l ˈɒ dʒ ɪ k ə l
TECHNOLOGIES, t ɛ k n ˈɒ l ə dʒ i z
TECHNOLOGY, t ɛ k n ˈɒ l ə dʒ i
TED, t ˈɛ d
TEDDY, t ˈɛ d i
TEDIOUS, t ˈiː d ɪə s
TEE, t ˈiː
TEEM, t ˈiː m
TEEN, t ˈiː n
TEENAGE, t ˈiː n ˌeɪ dʒ
TEENAGER, t ˈiː n ˌeɪ dʒ ə
TEENAGERS, t ˈiː n ˌeɪ dʒ ə z
TEENS, t ˈiː n z
TEES, t ˈiː z
TEETH, t ˈiː θ
TEIGNMOUTH, t ˈɪ n m ə θ
TELECOM, t ˈɛ l ɪ k ɒ m
TELECOMMUNICATION, t ˌɛ l ɪ k ə m j uː n ɪ k ˈeɪ ʃ ə n
TELECOMMUNICATIONS, t ˌɛ l ɪ k ə m j uː n ɪ k ˈeɪ ʃ ə n z
TELEGRAM, t ˈɛ l ɪ g ɹ ˌæ m
TELEGRAPH, t ˈɛ l ɪ g ɹ ˌɑː f
TELEPHONE, t ˈɛ l ɪ f ˌəʊ n
TELEPHONY, t ɪ l ˈɛ f ə n i
TELESCOPE, t ˈɛ l ɪ s k ˌəʊ p
TELETEXT, t ˈɛ l ɪ t ˌɛ k s t
TELEVISION(1), t ˈɛ l ɪ v ˌɪ ʒ ə n
TELEVISION(2), t ˌɛ l ɪ v ˈɪ ʒ ə n
TELEVISIONS(1), t ˈɛ l ɪ v ˌɪ ʒ ə n z
TELEVISIONS(2), t ˌɛ l ɪ v ˈɪ ʒ ə n z
TELL, t ˈɛ l
TELLING, t ˈɛ l ɪ ŋ
TELLS, t ˈɛ l z
TELLY, t ˈɛ l i
TEMP, t ˈɛ m p
TEMPER, t ˈɛ m p ə
TEMPERATURE(1), t ˈɛ m p ɹ ə tʃ ə
TEMPERATURE(2), t ˈɛ m p ə ɹ ə tʃ ə
TEMPERATURES(1), t ˈɛ m p ɹ ə tʃ ə z
TEMPERATURES(2), t ˈɛ m p ə ɹ ə tʃ ə z
TEMPLATE(1), t ˈɛ m p l eɪ t
TEMPLATE(2), t ˈɛ m p l ɪ t
TEMPLATES(1), t ˈɛ m p l eɪ t s
TEMPLATES(2), t ˈɛ m p l ɪ t s
TEMPLE, t ˈɛ m p ə l
TEMPO, t ˈɛ m p əʊ
TEMPORAL, t ˈɛ m p ə ɹ ə l
TEMPORARILY, t ˈɛ m p ɹ ə ɹ ɪ l i
TEMPORARY(1), t ˈɛ m p ə ɹ ə ɹ i
TEMPORARY(2), t ˈɛ m p ɹ ə ɹ i
TEMPT, t ˈɛ m p t
TEMPTATION, t ɛ m t ˈeɪ ʃ ə n
TEMPTED, t ˈɛ m p t ɪ d
TEMPTING, t ˈɛ m p t ɪ ŋ
TEN, t ˈɛ n
TENANT, t ˈɛ n ə n t
TENANTS, t ˈɛ n ə n t s
TEND, t ˈɛ n d
TENDED, t ˈɛ n d ɪ d
TENDENCY, t ˈɛ n d ə n s i
TENDER, t ˈɛ n d ə
TENDS, t ˈɛ n d z
TENET(1), t ˈɛ n ɪ t
TENET(2), t ˈiː n ɪ t
TENNER, t ˈɛ n ə
TENNESSEE, t ˌɛ n ə s ˈiː
TENNIS, t ˈɛ n ɪ s
TENOR, t ˈɛ n ə
TENS, t ˈɛ n z
TENSE, t ˈɛ n s
TENSION, t ˈɛ n ʃ ə n
TENSIONS, t ˈɛ n ʃ ə n z
TENT, t ˈɛ n t
TENTERHOOKS, t ˈɛ n t ə h ʊ k s
TENTH, t ˈɛ n θ
TENURE, t ˈɛ n j ə
TEPID, t ˈɛ p ɪ d
TERESA(1), t ə ɹ ˈiː s ə
TERESA(2), t ə ɹ ˈeɪ s ə
TERM, t ˈɜː m
TERMINAL, t ˈɜː m ɪ n ə l
TERMINALS, t ˈɜː m ɪ n ə l z
TERMINATE, t ˈɜː m ɪ n ˌeɪ t
TERMINATION, t ˌɜː m ɪ n ˈeɪ ʃ ə n
TERMINOLOGY, t ˌɜː m ɪ n ˈɒ l ə dʒ i
TERMS, t ˈɜː m z
TERN, t ˈɜː n
TERRACE, t ˈɛ ɹ ə s
TERRAIN, t ə ɹ ˈeɪ n
TERRIBLE, t ˈɛ ɹ ɪ b ə l
TERRIBLY, t ˈɛ ɹ ɪ b l i
TERRIER, t ˈɛ ɹ ɪə
TERRIFIC, t ə ɹ ˈɪ f ɪ k
TERRIFIED, t ˈɛ ɹ ɪ f ˌaɪ d
TERRITORIAL, t ˌɛ ɹ ɪ t ˈɔː ɹ ɪə l
TERRITORIES, t ˈɛ ɹ ɪ t ə ɹ i z
TERRITORY, t ˈɛ ɹ ɪ t ə ɹ i
TERROR, t ˈɛ ɹ ə
TERRORISM, t ˈɛ ɹ ə ɹ ˌɪ z ə m
TERRORIST, t ˈɛ ɹ ə ɹ ɪ s t
TERRORISTS, t ˈɛ ɹ ə ɹ ɪ s t s
TERRY, t ˈɛ ɹ i
TERSE, t ˈɜː s
TESCO, t ˈɛ s k əʊ
TEST, t ˈɛ s t
TESTAMENT, t ˈɛ s t ə m ə n t
TESTED, t ˈɛ s t ɪ d
TESTES, t ˈɛ s t iː z
TESTICLE, t ˈɛ s t ɪ k ə l
TESTICLES, t ˈɛ s t ɪ k ə l z
TESTIFY, t ˈɛ s t ɪ f ˌaɪ
TESTIMONIALS, t ˌɛ s t ɪ m ˈəʊ n ɪə l z
TESTIMONY, t ˈɛ s t ɪ m ə n i
TESTING, t ˈɛ s t ɪ ŋ
TESTIS, t ˈɛ s t ɪ s
TESTS, t ˈɛ s t s
TEX-MEX, t ˈɛ k s m ˌɛ k s
TEXAS, t ˈɛ k s ə s
TEXT, t ˈɛ k s t
TEXTBOOK, t ˈɛ k s t b ˌʊ k
TEXTBOOKS, t ˈɛ k s t b ˌʊ k s
TEXTILE, t ˈɛ k s t ˌaɪ l
TEXTILES, t ˈɛ k s t ˌaɪ l z
TEXTS, t ˈɛ k s t s
TEXTURE, t ˈɛ k s tʃ ə
THAI, t ˈaɪ
THAILAND, t ˈaɪ l ˌæ n d
THAMES, t ˈɛ m z
THAN(1), ð ə n
THAN(2), ð ˈæ n
THANK, θ ˈæ ŋ k
THANKS, θ ˈæ ŋ k s
THANKSGIVING, θ ˈæ ŋ k s g ˌɪ v ɪ ŋ
THANKYOU, θ ˈæ ŋ k j uː
THAT(1), ð ə t
THAT(2), ð ˈæ t
THATCHER, θ ˈæ tʃ ə
THAW, θ ˈɔː
THE(1), ð ə
THE(2), ð i
THE(3), ð ˈiː
THEATER, θ ˈɪə t ə
THEATERS, θ ˈɪə t ə z
THEATRE, θ ˈɪə t ə
THEATRES, θ ˈɪə t ə z
THEE, ð ˈiː
THEFT, θ ˈɛ f t
THEIR, ð ˈɛə
THEIRS, ð ˈɛə z
THEM(1), ð ə m
THEM(2), ð ˈɛ m
THEME, θ ˈiː m
THEMES, θ ˈiː m z
THEMSELVES(1), ð ə m s ˈɛ l v z
THEMSELVES(2), ð ɛ m s ˈɛ l v z
THEN, ð ˈɛ n
THEOLOGY, θ ɪ ˈɒ l ə dʒ i
THEOREM, θ ˈɪə ɹ ə m
THEORETICAL, θ ɪə ɹ ˈɛ t ɪ k ə l
THEORIES, θ ˈɪə ɹ i z
THEORISTS, θ ˈɪə ɹ ɪ s t s
THEORY, θ ˈɪə ɹ i
THERAPEUTIC, θ ˌɛ ɹ ə p j ˈuː t ɪ k
THERAPIST, θ ˈɛ ɹ ə p ɪ s t
THERAPY, θ ˈɛ ɹ ə p i
THERE, ð ˈɛə
THEREAFTER, ð ˌɛə ɹ ˈɑː f t ə
THEREBY, ð ˌɛə b ˈaɪ
THEREFORE, ð ˈɛə f ˌɔː
THEREIN, ð ˌɛə ɹ ˈɪ n
THEREOF, ð ˌɛə ɹ ˈɒ v
THERESA(1), t ə ɹ ˈiː s ə
THERESA(2), t ə ɹ ˈeɪ s ə
THERMAL, θ ˈɜː m ə l
THERMOMETER, θ ə m ˈɒ m ɪ t ə
THESAURUS, θ ɪ s ˈɔː ɹ ə s
THESE, ð ˈiː z
THESES, θ ˈiː s iː z
THESIS, θ ˈiː s ɪ s
THETA, θ ˈiː t ə
THEY, ð ˈeɪ
THICK, θ ˈɪ k
THICKER, θ ˈɪ k ə
THICKNESS, θ ˈɪ k n ɪ s
THIEF, θ ˈiː f
THIEVES, θ ˈiː v z
THIGH, θ ˈaɪ
THIN, θ ˈɪ n
THING, θ ˈɪ ŋ
THINGS, θ ˈɪ ŋ z
THINGY, θ ˈɪ ŋ i
THINK, θ ˈɪ ŋ k
THINKING, θ ˈɪ ŋ k ɪ ŋ
THINKPAD, θ ˈɪ ŋ k p ˌæ d
THINKS, θ ˈɪ ŋ k s
THINNER, θ ˈɪ n ə
THIRD, θ ˈɜː d
THIRDLY, θ ˈɜː d l i
THIRDS, θ ˈɜː d z
THIRST, θ ˈɜː s t
THIRSTY, θ ˈɜː s t i
THIRTEEN(1), θ ˈɜː t ˌiː n
THIRTEEN(2), θ ɜː t ˈiː n
THIRTEENTH, θ ɜː t ˈiː n θ
THIRTIES, θ ˈɜː t i z
THIRTIETH, θ ˈɜː t i ɪ θ
THIRTY, θ ˈɜː t i
THIS(1), ð ɪ s
THIS(2), ð ˈɪ s
THISTLE, θ ˈɪ s ə l
THOMAS, t ˈɒ m ə s
THOMPSON(1), t ˈɒ m p s ə n
THOMPSON(2), t ˈɒ m s ə n
THOMSON, t ˈɒ m s ə n
THONG, θ ˈɒ ŋ
THONGS, θ ˈɒ ŋ z
THORN, θ ˈɔː n
THOROUGH, θ ˈɐ ɹ ə
THOROUGHLY, θ ˈɐ ɹ ə l i
THOSE, ð ˈəʊ z
THOU, ð ˈaʊ
THOUGH, ð ˈəʊ
THOUGHT, θ ˈɔː t
THOUGHTS, θ ˈɔː t s
THOUSAND, θ ˈaʊ z ə n d
THOUSANDS, θ ˈaʊ z ə n d z
THRASH, θ ɹ ˈæ ʃ
THREAD, θ ɹ ˈɛ d
THREADED, θ ɹ ˈɛ d ɪ d
THREADS, θ ɹ ˈɛ d z
THREAT, θ ɹ ˈɛ t
THREATEN, θ ɹ ˈɛ t ə n
THREATENED, θ ɹ ˈɛ t ə n d
THREATENING(1), θ ɹ ˈɛ t n ɪ ŋ
THREATENING(2), θ ɹ ˈɛ t ɪ n ɪ ŋ
THREATS, θ ɹ ˈɛ t s
THREE, θ ɹ ˈiː
THREES, θ ɹ ˈiː z
THREESOME, θ ɹ ˈiː s ə m
THRESHOLD, θ ɹ ˈɛ ʃ ˌəʊ l d
THREW, θ ɹ ˈuː
THRICE, θ ɹ ˈaɪ s
THRILL, θ ɹ ˈɪ l
THRILLER, θ ɹ ˈɪ l ə
THRIVE, θ ɹ ˈaɪ v
THROAT, θ ɹ ˈəʊ t
THROB, θ ɹ ˈɒ b
THROES, θ ɹ ˈəʊ z
THRONE, θ ɹ ˈəʊ n
THROUGH, θ ɹ ˈuː
THROUGHOUT, θ ɹ uː ˈaʊ t
THROW, θ ɹ ˈəʊ
THROWING, θ ɹ ˈəʊ ɪ ŋ
THROWN, θ ɹ ˈəʊ n
THROWS, θ ɹ ˈəʊ z
THRU, θ ɹ ˈuː
THRUSH, θ ɹ ˈɐ ʃ
THRUST, θ ɹ ˈɐ s t
THUD, θ ˈɐ d
THUG, θ ˈɐ g
THUMB, θ ˈɐ m
THUMBNAIL, θ ˈɐ m n ˌeɪ l
THUMBNAILS, θ ˈɐ m n ˌeɪ l z
THUMBS, θ ˈɐ m z
THUMP, θ ˈɐ m p
THUNDER, θ ˈɐ n d ə
THURSDAY(1), θ ˈɜː z d i
THURSDAY(2), θ ˈɜː z d ˌeɪ
THURSDAYS(1), θ ˈɜː z d i z
THURSDAYS(2), θ ˈɜː z d eɪ z
THUS, ð ˈɐ s
THY, ð ˈaɪ
THYROID, ð ˈaɪ ɹ ˌɔɪ d
TIBET, t ɪ b ˈɛ t
